Combined_Key,Maricopa - Arizona - US,Los Angeles - California - US,Orange - California - US,San Diego - California - US,San Francisco - California - US,Santa Clara - California - US,Cook - Illinois - US,Suffolk - Massachusetts - US,Snohomish - Washington - US,Dane - Wisconsin - US
X4.2.20,22.59581472,40.05743712,20.73324905,25.71168988,51.72152213,53.01217355,106.72473,239.4646903,174.9256312,44.91896656
X4.3.20,24.66494239,45.21687463,22.47155499,29.25499697,57.12354777,53.01217355,116.9856189,275.7127737,174.9256312,47.56125871
X4.4.20,27.53350576,45.60308972,24.84197219,33.67655966,60.80152268,59.72323379,142.4081196,306.7825595,191.0706567,50.76975632
X4.5.20,31.17799201,58.97207368,26.35903919,36.61417323,65.2840546,62.79263344,153.7984719,335.7052462,198.1897231,52.84584301
X4.6.20,33.69386316,63.15111903,27.87610619,40.15748031,67.00810534,62.79263344,167.0840258,369.9325306,203.7832753,54.16698909
X4.7.20,35.15165765,68.68686869,29.42477876,42.51968504,71.49063726,66.85048382,182.0350597,409.8433123,210.9023417,54.5444594
X4.8.20,36.65647778,74.85640721,32.11125158,44.03391884,77.69721991,71.79273749,201.389087,454.6797918,215.4788843,57.18675155
X4.9.20,39.71314366,78.77797584,34.10240202,46.33555421,83.21418227,71.79273749,218.5224741,510.3780662,221.8351936,57.94169216
X4.10.20,40.93581002,83.61061596,35.96713021,49.30345245,91.60456253,75.0182083,238.7571001,572.6439377,229.0813862,59.07410308
X4.11.20,44.46273219,83.70964547,38.59039191,51.27195639,98.50076548,77.20320466,256.8476597,622.1535151,233.2765503,61.71639523
X4.12.20,46.08511639,88.0768469,40.36030341,53.33131435,100.2248162,81.46914993,279.2072085,676.84139,237.3445882,63.03754131
X4.13.20,47.49588526,93.41453753,40.54993679,54.63355542,109.9944371,86.67152221,296.225735,704.6273773,242.4296357,64.16995223
X4.14.20,48.34234658,99.49494949,41.05562579,55.93579649,113.4425385,86.67152221,312.4785234,741.6332603,247.8960616,64.92489285
X4.15.20,50.45849988,104.1493365,43.48925411,58.44942459,116.4308932,93.27853501,331.2965341,793.0373368,252.7268567,66.24603892
X4.16.20,53.23301199,107.486631,45.03792668,60.93276802,117.1205134,95.35948392,346.2475681,861.3656055,258.3204088,66.43477407
X4.17.20,56.52480602,112.8936423,47.43994943,63.20411872,121.6030454,97.28436167,371.210626,918.4531793,261.3714373,67.75592015
X4.18.20,58.57042088,119.0433749,49.17825537,65.35433071,130.6830459,97.28436167,390.4306491,972.0043548,266.0751062,67.567185
X4.19.20,60.8746767,122.2123193,51.70670038,67.01998789,132.9817802,97.28436167,407.2194542,1019.745733,272.4314154,68.13339046
X4.20.20,61.97977898,136.8884928,52.97092288,68.68564506,139.7630465,99.98959526,423.0893737,1019.745733,274.9739391,68.69959592
X4.21.20,64.37808606,150.0594177,53.44500632,70.41187159,141.4870972,99.98959526,443.764299,1094.894199,278.27922,72.09682868
X4.22.20,66.91747002,162.8738364,55.4045512,75.4391278,141.7169706,102.0705442,469.8951073,1144.277476,280.8217437,72.8517693
X4.23.20,69.83305902,173.6680531,57.74336283,80.04239855,149.647604,103.3711372,494.1115707,1230.035137,281.711627,73.04050445
X4.24.20,73.26592993,183.6502278,58.31226296,85.58449425,154.0151992,104.9838726,528.6654967,1354.44058,285.144034,74.55038568
X4.25.20,76.04044204,189.473163,62.23135272,89.12780133,155.6243133,106.1283945,556.2703507,1416.832751,292.008848,75.6827966
X4.26.20,78.97954385,193.7710438,65.54993679,89.12780133,161.8308959,108.4174384,585.2918199,1457.880232,293.7886146,76.43773722
X4.27.20,81.28379967,202.2479699,67.19342604,92.15626893,163.6698834,109.5099365,611.6906365,1500.822213,296.4582645,77.75888329
